CNF 200 400
-196 50 83 0
-120 -100 152 0
-103 -53 -49 0
-186 -113 27 0
86 109 154 0
-90 77 141 0
-156 72 113 0
-130 -11 93 0
-161 28 54 0
-172 118 163 0
-30 -20 59 0
-195 80 179 0
-138 128 182 0
-192 -98 68 0
-89 114 140 0
-128 -56 168 0
-163 -20 46 0
-171 -149 -17 0
-98 -64 176 0
-59 -24 199 0
-64 104 180 0
-97 80 115 0
-157 -73 -27 0
-128 -38 31 0
-124 12 105 0
-115 -114 88 0
-128 23 112 0
-152 -109 105 0
-9 106 116 0
-188 -34 -31 0
119 148 190 0
-133 -59 66 0
-167 -29 157 0
-159 -149 89 0
-80 103 166 0
-148 60 93 0
-137 -103 35 0
-156 -99 41 0
-171 -59 182 0
-154 25 146 0
64 93 147 0
-150 -70 -48 0
-101 -65 190 0
-59 33 138 0
47 127 165 0
-152 -31 112 0
-173 -96 -44 0
-169 24 31 0
-159 -113 14 0
-15 14 187 0
-117 -18 141 0
-193 17 64 0
-146 106 129 0
-178 -22 4 0
-192 40 187 0
-139 -37 -31 0
-75 119 120 0
-188 -137 56 0
-98 32 130 0
-100 -68 8 0
-107 -79 -43 0
-75 -40 163 0
-86 -39 -26 0
13 51 180 0
-139 -93 138 0
-121 -49 184 0
-200 -15 54 0
-2 114 180 0
-182 -21 59 0
-111 -40 -9 0
-117 36 145 0
-191 -9 7 0
-182 -172 -69 0
-179 -75 11 0
-155 -107 179 0
-93 -29 92 0
-36 82 95 0
4 59 111 0
-156 -136 -46 0
-177 -19 25 0
-100 41 62 0
-176 30 122 0
-114 -74 59 0
-7 100 158 0
-185 -181 190 0
-163 -118 -21 0
-184 -42 147 0
23 72 128 0
-110 -25 100 0
-71 90 150 0
-82 26 152 0
-193 -122 -80 0
-188 -103 76 0
-117 99 137 0
-32 -25 -24 0
-130 69 127 0
69 83 117 0
-180 62 69 0
-154 4 183 0
-162 -104 -102 0
-131 -35 70 0
-133 66 86 0
-142 -41 131 0
-197 -51 36 0
-135 112 117 0
-87 33 170 0
-174 -56 183 0
-105 -55 107 0
-51 71 195 0
-191 78 98 0
-125 97 112 0
-67 90 144 0
-67 -43 168 0
-8 25 185 0
-104 59 62 0
-96 31 85 0
-137 14 52 0
-195 -70 194 0
-135 -2 74 0
-65 93 116 0
-153 -144 122 0
-102 -51 -6 0
67 79 174 0
-20 73 150 0
-29 46 148 0
-139 -82 121 0
-109 56 157 0
-9 75 89 0
-176 -52 114 0
-103 40 104 0
-199 -128 -29 0
-141 -92 91 0
-153 -39 -31 0
-58 -46 111 0
-185 -32 62 0
-63 64 118 0
-44 89 142 0
-76 22 110 0
-144 -25 173 0
-196 -192 181 0
-2 27 90 0
-176 -173 -122 0
