CNF 400 400
-310 -242 -198 0
-332 -165 -6 0
-21 291 321 0
-67 241 253 0
-340 -307 364 0
-18 194 326 0
-177 338 373 0
-382 272 313 0
-318 -185 351 0
-225 -107 82 0
149 303 320 0
247 251 278 0
-399 245 325 0
62 272 338 0
130 274 359 0
-81 175 383 0
-358 305 310 0
189 261 393 0
-35 -28 140 0
35 223 264 0
186 248 372 0
-178 -148 -41 0
-279 33 61 0
75 224 385 0
-382 -373 -30 0
-301 20 142 0
-295 -281 265 0
-317 -71 126 0
-321 145 308 0
-188 -134 306 0
-361 256 353 0
-278 219 223 0
-371 -272 159 0
-206 -137 317 0
-375 319 322 0
-348 -331 -246 0
-47 -25 278 0
-120 129 345 0
-83 122 160 0
-57 240 269 0
-311 -203 145 0
-387 -252 80 0
-145 77 83 0
-120 -59 -26 0
-313 -36 166 0
-241 242 299 0
-199 -142 177 0
-170 233 351 0
313 320 396 0
-332 -103 289 0
-155 131 159 0
-306 127 256 0
-320 -2 94 0
-99 290 335 0
-276 -31 322 0
-187 -107 157 0
-158 -20 118 0
-124 59 375 0
-399 -312 -261 0
-384 -267 -249 0
-365 -314 49 0
-276 185 238 0
-94 59 112 0
-395 -324 73 0
-293 -251 -145 0
-287 -9 172 0
-328 -89 -18 0
-191 134 397 0
-329 -271 -106 0
-379 -277 -129 0
-159 -55 247 0
-275 104 181 0
-152 282 314 0
-298 -255 381 0
4 190 323 0
-390 -361 104 0
-320 -174 -1 0
-340 -94 -29 0
-224 -195 233 0
-242 147 297 0
-370 -200 234 0
-325 286 334 0
-160 28 108 0
-191 -179 214 0
-349 -303 116 0
-373 -250 284 0
-333 103 309 0
-328 -193 -90 0
-365 -179 302 0
164 377 382 0
-313 15 334 0
67 354 386 0
-377 -4 256 0
-354 -318 369 0
-100 156 256 0
8 28 377 0
-232 -132 -15 0
-46 27 208 0
-152 -82 127 0
-161 65 200 0
-180 3 258 0
-170 57 127 0
-249 253 304 0
-87 -74 399 0
-381 -105 307 0
-216 -21 20 0
-344 -125 207 0
-233 7 371 0
-297 -254 -177 0
90 105 267 0
-341 -233 247 0
-27 133 216 0
170 307 355 0
-288 307 342 0
-205 -73 393 0
-158 11 322 0
-193 -65 46 0
-22 15 329 0
-121 -41 371 0
-216 107 344 0
-132 -25 270 0
-338 -91 32 0
108 178 395 0
-261 -205 -85 0
2 64 180 0
-81 220 364 0
-62 50 129 0
63 236 309 0
-142 114 328 0
-286 -34 -6 0
46 140 385 0
-267 223 270 0
-384 235 282 0
-55 199 256 0
-204 302 324 0
-246 -213 315 0
-220 -197 -196 0
-309 63 374 0
-26 38 331 0
-95 75 91 0
-250 13 32 0
-151 185 374 0
-373 -216 386 0
-13 100 333 0
-114 -34 133 0
-329 -292 213 0
-55 171 216 0
-394 -153 23 0
-239 232 397 0
-161 246 387 0
-368 -218 283 0
-73 167 399 0
-244 -40 381 0
-56 88 329 0
-385 -197 -46 0
-235 -198 160 0
-334 -294 201 0
-52 228 305 0
-308 -40 395 0
-311 102 350 0
-76 2 218 0
-188 -134 -130 0
7 17 94 0
-395 -345 -270 0
-397 -10 138 0
123 186 302 0
-291 -40 71 0
-21 143 207 0
-387 -289 151 0
159 224 342 0
-163 306 328 0
-261 181 380 0
-166 -163 385 0
-81 74 214 0
-203 230 287 0
-118 262 377 0
-186 44 399 0
-163 -64 318 0
-248 -93 104 0
-240 56 210 0
-258 -177 -37 0
-227 -171 222 0
-389 -103 150 0
30 223 387 0
-35 6 355 0
-161 -96 390 0
144 181 372 0
-337 -286 -234 0
-385 -149 156 0
-398 -177 64 0
-278 274 385 0
-363 -300 348 0
24 156 178 0
-184 -78 362 0
-387 113 350 0
-2 46 318 0
-143 95 203 0
-236 211 219 0
-369 102 178 0
-372 -79 363 0
-167 -129 282 0
-123 2 195 0
84 284 381 0
34 113 183 0
-160 320 365 0
-296 -205 213 0
-363 35 193 0
-317 -211 -106 0
-53 30 196 0
-335 43 363 0
-89 321 387 0
-212 -93 302 0
-180 258 362 0
155 285 320 0
-244 -205 264 0
110 210 233 0
-326 -291 -7 0
-192 86 146 0
123 135 285 0
-77 -50 196 0
-159 330 351 0
-355 -78 76 0
81 206 282 0
-348 -154 304 0
-194 -2 295 0
-244 -187 80 0
-348 -309 -179 0
23 29 157 0
-342 -229 75 0
-371 -335 214 0
-80 6 321 0
-178 129 340 0
-147 -95 -16 0
-91 31 122 0
-120 12 170 0
-395 -224 -50 0
9 59 344 0
-224 -181 -105 0
-395 41 217 0
-271 -169 204 0
-298 -83 99 0
-290 -23 292 0
-228 196 257 0
-264 -74 -46 0
-209 -143 314 0
-226 -116 -115 0
-34 89 236 0
-121 -115 16 0
-199 -131 74 0
144 146 149 0
-303 -255 244 0
317 370 372 0
-368 -111 98 0
-189 59 116 0
-374 -100 155 0
-335 249 294 0
-136 30 180 0
-169 -145 250 0
183 252 357 0
-119 -18 192 0
-323 -303 389 0
-297 -14 376 0
-182 -111 333 0
-130 -100 -14 0
-297 -84 80 0
-107 153 378 0
-79 -23 289 0
-133 -100 -58 0
-68 116 400 0
-375 -296 -91 0
-259 -74 51 0
